,repo,week,commits,total commits
304,pygal,45,0.0,19.0
305,pygal,46,0.0,19.0
306,pygal,47,0.0,19.0
307,pygal,48,1.0,19.0
308,pygal,49,0.0,19.0
309,pygal,50,0.0,19.0
310,pygal,51,0.0,19.0
311,pygal,52,0.0,19.0
312,mayavi,1,0.0,206.0
313,mayavi,2,0.0,206.0
314,mayavi,3,0.0,206.0
315,mayavi,4,0.0,206.0
316,mayavi,5,0.0,206.0
317,mayavi,6,0.0,206.0
318,mayavi,7,0.0,206.0
319,mayavi,8,0.0,206.0
320,mayavi,9,0.0,206.0
321,mayavi,10,5.0,206.0
322,mayavi,11,0.0,206.0
323,mayavi,12,0.0,206.0
324,mayavi,13,0.0,206.0
325,mayavi,14,2.0,206.0
326,mayavi,15,3.0,206.0
327,mayavi,16,6.0,206.0
328,mayavi,17,2.0,206.0
329,mayavi,18,4.0,206.0
330,mayavi,19,0.0,206.0
331,mayavi,20,3.0,206.0
332,mayavi,21,0.0,206.0
333,mayavi,22,1.0,206.0
334,mayavi,23,3.0,206.0
335,mayavi,24,0.0,206.0
336,mayavi,25,14.0,206.0
337,mayavi,26,2.0,206.0
338,mayavi,27,8.0,206.0
339,mayavi,28,0.0,206.0
340,mayavi,29,3.0,206.0
341,mayavi,30,23.0,206.0
342,mayavi,31,0.0,206.0
343,mayavi,32,0.0,206.0
344,mayavi,33,0.0,206.0
345,mayavi,34,0.0,206.0
346,mayavi,35,0.0,206.0
347,mayavi,36,7.0,206.0
348,mayavi,37,1.0,206.0
349,mayavi,38,0.0,206.0
350,mayavi,39,0.0,206.0
351,mayavi,40,9.0,206.0
352,mayavi,41,11.0,206.0
353,mayavi,42,5.0,206.0
354,mayavi,43,0.0,206.0
355,mayavi,44,0.0,206.0
356,mayavi,45,0.0,206.0
357,mayavi,46,20.0,206.0
358,mayavi,47,13.0,206.0
359,mayavi,48,1.0,206.0
360,mayavi,49,9.0,206.0
361,mayavi,50,12.0,206.0
362,mayavi,51,35.0,206.0
363,mayavi,52,4.0,206.0
364,seaborn,1,0.0,390.0
365,seaborn,2,17.0,390.0
366,seaborn,3,17.0,390.0
367,seaborn,4,4.0,390.0
368,seaborn,5,6.0,390.0
369,seaborn,6,0.0,390.0
370,seaborn,7,26.0,390.0
371,seaborn,8,9.0,390.0
372,seaborn,9,3.0,390.0
373,seaborn,10,2.0,390.0
374,seaborn,11,14.0,390.0
375,seaborn,12,2.0,390.0
376,seaborn,13,0.0,390.0
377,seaborn,14,0.0,390.0
378,seaborn,15,39.0,390.0
379,seaborn,16,7.0,390.0
380,seaborn,17,0.0,390.0
381,seaborn,18,0.0,390.0
382,seaborn,19,0.0,390.0
383,seaborn,20,0.0,390.0
384,seaborn,21,0.0,390.0
385,seaborn,22,1.0,390.0
386,seaborn,23,0.0,390.0
387,seaborn,24,0.0,390.0
388,seaborn,25,0.0,390.0
389,seaborn,26,1.0,390.0
390,seaborn,27,0.0,390.0
391,seaborn,28,2.0,390.0
392,seaborn,29,13.0,390.0
393,seaborn,30,0.0,390.0
394,seaborn,31,0.0,390.0
395,seaborn,32,0.0,390.0
396,seaborn,33,0.0,390.0
397,seaborn,34,0.0,390.0
398,seaborn,35,6.0,390.0
399,seaborn,36,1.0,390.0
400,seaborn,37,1.0,390.0
